puma,total_seats,total_vacancy,tot_births_22,pre_sch_age,population,white_nh,black_nh,hispanic,asian_api_nh,other_multiracial_nh,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_api_nh,pct_other_multiracial_nh,households,mean_household_income,median_household_income,seats_per_child_children,vacancy_rate,median_inc_10k,pct_hispanic10,pct_black10,pct_asian10,seats_per_child
4204,2057,446,1811,3622,146631,5536,47645,87610,1653,4187,0.0377546357864299,0.324931290109186,0.597486206873035,0.0112731959817501,0.0285546712495993,56688,55569.0793465989,40000,0.56791827719492,0.216820612542538,4,5.97486206873035,3.24931290109186,0.112731959817501,0.56791827719492
4205,1823,589,1596,3192,131198,2415,36220,88302,978,3283,0.0184072927940975,0.276071281574414,0.673043796399335,0.00745438192655376,0.0250232473055992,47289,49676.2695341411,34700,0.571115288220551,0.323093801426221,3.47,6.73043796399335,2.76071281574414,0.0745438192655376,0.571115288220551
4207,1688,435,1696,3392,127793,7441,17954,93430,6661,2307,0.0582269764384591,0.140492828245679,0.731104207585705,0.0521233557393598,0.0180526319907976,50346,55470.8088428078,40000,0.497641509433962,0.257701421800948,4,7.31104207585705,1.40492828245679,0.521233557393598,0.497641509433962
4208,1653,304,895,1790,97512,32751,13021,43670,3982,4088,0.335866354910165,0.13353228320617,0.447842316843055,0.0408359996718353,0.0419230453687751,40692,106042.593875946,72000,0.923463687150838,0.183908045977012,7.2,4.47842316843055,1.3353228320617,0.408359996718353,0.923463687150838
4209,2190,361,2068,4136,168887,3748,44852,95952,17026,7309,0.0221923534671111,0.265574022867361,0.56814319633838,0.100812969618739,0.0432774577084086,63394,61720.7739218223,42300,0.529497098646035,0.164840182648402,4.23,5.6814319633838,2.65574022867361,1.00812969618739,0.529497098646035
4210,1132,131,897,1794,127259,28182,30509,54809,10013,3746,0.221453885383352,0.239739429038418,0.430688595698536,0.0786820578505253,0.0294360320291689,50776,83428.2340081929,64000,0.630992196209587,0.115724381625442,6.4,4.30688595698536,2.39739429038418,0.786820578505253,0.630992196209587
4211,1446,224,1221,2442,113967,23042,24575,51478,10655,4217,0.202181333192942,0.215632595400423,0.451692156501443,0.0934919757473655,0.0370019391578264,42884,75302.6481671486,55100,0.592137592137592,0.154910096818811,5.51,4.51692156501443,2.15632595400423,0.934919757473655,0.592137592137592
4212,1900,449,1384,2768,158176,9336,91742,45340,3491,8267,0.059022860610965,0.579999494234271,0.286642727088812,0.0220703520129476,0.0522645660530043,57533,80655.6850850816,58500,0.686416184971098,0.236315789473684,5.85,2.86642727088812,5.79999494234271,0.220703520129476,0.686416184971098
4221,2905,893,1866,3732,155129,3763,38604,107666,1348,3748,0.0242572310786507,0.248850956300885,0.694041733009302,0.00868954225193226,0.0241605373592301,57982,46920.8987271912,29400,0.778403001071811,0.307401032702238,2.94,6.94041733009302,2.48850956300885,0.0868954225193226,0.778403001071811
4263,3758,1291,2247,4494,177301,7575,57696,104758,1336,5936,0.0427239553076407,0.325412716228335,0.590848331368689,0.00753520848726178,0.0334797886080733,66344,43823.359911974,31000,0.836226079216733,0.343533794571581,3.1,5.90848331368689,3.25412716228335,0.0753520848726178,0.836226079216733
