citycouncildistrict,total_bldgs,med_yearbuilt,mean_yearbuilt,year
23,47625,1945,1943.9125399361,2014
27,50761,1935,1938.56971680831,2014
31,34976,1950,1950.75492561319,2014
50,50325,1965,1964.6046703965,2014
49,40492,1943,1950.19128656707,2014
51,48506,1980,1976.30330509486,2014
15,10538,1925,1932.05946601942,2015
17,9181,1931,1950.22704616999,2015
14,4488,1922,1931.19175580485,2015
18,13545,1931,1943.89595430747,2015
8,5549,1920,1934.10893672538,2015
16,3867,1927,1938.99536231884,2015
13,31098,1940,1944.61303648302,2015
0,169,1957,1957.24,2015
22,22434,1931,1939.15311169907,2015
12,21601,1950,1947.20437152134,2015
11,10363,1930,1936.65837680456,2015
10,2645,1921,1925.73596491228,2015
33,15262,1915,1923.17869786055,2015
35,13333,1915,1920.64579622373,2015
39,21579,1910,1916.86529012023,2015
38,18369,1920,1924.34141912051,2015
36,15999,1905,1919.87701829925,2015
40,10868,1920,1922.05917916521,2015
41,16029,1930,1934.19481888696,2015
37,19861,1915,1925.15512218325,2015
34,16176,1930,1933.59466327827,2015
42,16766,1935,1951.26609564597,2015
45,30760,1925,1928.71840502474,2015
48,23732,1930,1935.33945582112,2015
44,23772,1930,1934.08693638942,2015
47,24347,1930,1937.99106151454,2015
43,32586,1925,1928.50715746421,2015
46,37695,1950,1946.99333691224,2015
1,5703,1910,1920.0284629981,2015
3,8172,1910,1919.2891181171,2015
6,4123,1910,1914.09997334044,2015
2,4978,1910,1919.13459759482,2015
4,5985,1920,1924.63364867372,2015
7,3245,1912,1917.65950813994,2015
5,3389,1920,1924.57712765957,2015
9,5847,1910,1921.68479102167,2015
26,15249,1931,1937.65095106487,2015
21,16791,1930,1941.63302028254,2015
25,13658,1938,1942.77441749881,2015
30,40793,1930,1934.20653803533,2015
20,21831,1950,1949.86003671583,2015
29,19523,1933,1936.71628833701,2015
24,27713,1940,1944.22951443641,2015
19,49586,1945,1947.20495574191,2015
28,41655,1925,1934.89310609229,2015
32,41277,1930,1936.71626579698,2015
23,48001,1945,1943.9401554216,2015
27,50755,1935,1938.61628779916,2015
31,34921,1950,1951.15646992962,2015
49,40483,1943,1950.22393376653,2015
50,50509,1965,1964.6420699219,2015
51,48497,1980,1976.33797036436,2015
47,24443,1930,1938.05263742983,2016
43,32595,1925,1928.54164128448,2016
48,24111,1930,1935.48588893967,2016
0,339,1960,1960.91836734694,2016
38,18386,1920,1924.40066225166,2016
44,23788,1930,1934.21713689821,2016
39,21569,1910,1917.02505361159,2016
33,15309,1915,1923.59622350674,2016
35,13357,1915,1920.98682688028,2016
46,39111,1950,1947.00558959136,2016
45,31347,1925,1928.73509807656,2016
40,10874,1920,1922.31976676385,2016
41,16159,1930,1934.37995934653,2016
42,16806,1935,1951.33485551195,2016
36,16018,1905,1920.18512040899,2016
34,16194,1930,1933.98429554293,2016
37,19886,1915,1925.36198396198,2016
8,5577,1920,1934.31535450196,2016
13,31060,1940,1944.64098995259,2016
17,9199,1931,1950.38634874885,2016
22,22518,1931,1939.31542620499,2016
18,13613,1931,1944.45947224061,2016
16,3874,1927,1939.2661849711,2016
14,4489,1922,1931.41570981211,2016
15,10548,1925,1932.2432514407,2016
11,10384,1930,1936.8605920893,2016
10,2643,1922,1925.83157431838,2016
12,21638,1950,1947.35389516363,2016
1,5667,1910,1920.25063451777,2016
3,8170,1910,1919.66589124746,2016
2,4958,1910,1919.33627291715,2016
4,5959,1920,1924.96813862493,2016
6,4121,1910,1914.06780565937,2016
5,3374,1918.5,1924.47198132088,2016
7,3254,1912,1917.73328714929,2016
9,5854,1910,1921.88035679659,2016
32,42347,1930,1936.78941128524,2016
30,41986,1930,1934.28091608027,2016
28,42849,1925,1934.96707317073,2016
31,34907,1950,1951.30393644203,2016
29,20412,1934,1936.79713858638,2016
24,28438,1940,1944.33829764105,2016
27,52161,1935,1938.65282826159,2016
26,15326,1931,1937.87189712704,2016
19,50809,1945,1947.29813067785,2016
25,13654,1938,1942.85647663462,2016
21,16861,1930,1941.76939484911,2016
20,22343,1950,1950.04844224924,2016
23,49299,1945,1943.99716713881,2016
51,48567,1980,1976.48701639032,2016
49,41151,1943,1950.41119525848,2016
50,50638,1965,1964.82904630959,2016
44,23854,1930,1934.50839314656,2017
38,18506,1920,1924.84237123421,2017
45,31977,1925,1928.85182717929,2017
43,32653,1925,1928.57863824233,2017
34,16309,1930,1934.79487561448,2017
36,16060,1905,1920.70422062672,2017
41,16276,1930,1934.53817224521,2017
46,39336,1950,1947.03780079581,2017
39,21617,1910,1917.22287896223,2017
37,19984,1915,1925.47621592731,2017
48,24176,1930,1935.70911375057,2017
33,15336,1916,1924.29314457182,2017
42,16956,1935,1951.51000926124,2017
47,24611,1930,1938.22883473047,2017
40,11016,1920,1923.14267471558,2017
35,13411,1915,1921.44423709233,2017
0,209,1959,1958.12765957447,2017
12,21772,1950,1947.54605871475,2017
13,31341,1940,1944.74560869565,2017
17,9249,1931,1950.64788179916,2017
8,5598,1920,1934.85105001083,2017
14,4535,1922,1931.64423578508,2017
18,13628,1931,1944.59930116158,2017
11,10510,1930,1937.05298254122,2017
15,10600,1925,1932.54160340115,2017
16,3903,1927,1939.54558568956,2017
22,22957,1931,1939.43959268209,2017
10,2659,1922,1925.88110964333,2017
5,3383,1920,1924.66845098695,2017
3,8174,1910,1920.07025454545,2017
4,5933,1920,1925.4908445441,2017
6,4128,1910,1914.31386666667,2017
1,5684,1910,1920.37023708721,2017
2,4966,1910,1919.52741635688,2017
9,5875,1910,1922.10821837964,2017
7,3258,1912,1917.99930843707,2017
26,15439,1931,1938.3257532689,2017
21,17376,1930,1942.14794952681,2017
25,13929,1939,1943.09085719722,2017
30,42201,1930,1934.31945530362,2017
29,20559,1934,1936.84241647076,2017
19,51107,1945,1947.52031409045,2017
23,49498,1945,1944.0773306238,2017
27,52956,1935,1938.74602983999,2017
32,42840,1930,1936.91859690668,2017
20,22481,1950,1950.4086429113,2017
24,28588,1940,1944.47376425856,2017
31,36665,1950,1951.42449972096,2017
